record_id,timestamp,client_id,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,entropy,signature_known,attack_type,is_zero_day,label_malicious,poisoned_flag,poison_type,model_update_delta,gradient_stat,anomaly_score,feature_1,feature_2,feature_3,seen_in_train
rec_00721,2025-02-21 15:50:18,client_025,226.169.62.93,165.252.11.44,29043,5000,UDP,988,2.0422,0,benign,0,0,0,,6.0302,5.4199,1.2091,0.407894,6.383843,1.338709,1
rec_02335,2025-08-03 14:45:40,client_039,31.139.120.246,25.224.123.129,38344,443,TCP,3098,5.9373,1,benign,0,0,0,,5.0159,7.5262,1.2601,1.191226,7.850675,1.301779,1
rec_02712,2025-03-10 08:32:30,client_083,44.170.46.95,146.128.55.222,15994,5000,UDP,67,3.1051,0,benign,0,0,0,,4.7602,6.6515,0.9054,0.338338,4.14766,1.003335,1
rec_03044,2025-07-20 20:18:55,client_061,79.221.178.29,35.103.44.143,14807,80,TCP,182,4.5433,0,benign,0,0,0,,2.6031,2.4343,1.0427,0.477437,5.409453,1.159832,1
rec_01676,2025-06-18 14:56:14,client_047,214.119.101.39,224.75.230.225,54023,443,TCP,991,5.381,1,ddos,0,1,0,,5.3183,4.5781,1.0189,0.711236,6.6753,0.743117,1
rec_00843,2025-02-06 04:09:14,client_002,20.165.131.73,240.95.109.194,50351,443,TCP,1090,4.8446,1,benign,0,0,0,,3.2263,3.0804,0.52,0.68807,7.141857,0.487815,1
rec_02177,2025-06-02 01:36:07,client_054,179.40.196.164,51.121.253.240,11728,1900,TCP,3378,5.5936,1,benign,0,0,0,,7.4917,8.4855,1.7268,1.252171,7.275163,1.80711,1
rec_01938,2025-02-05 04:31:07,client_039,203.112.230.24,77.247.14.51,62164,22,TCP,3644,6.4179,0,benign,0,0,0,,2.6195,2.5917,2.1521,1.364935,8.237082,2.061821,0
rec_00819,2025-09-14 03:34:51,client_028,246.33.30.187,247.5.191.29,22966,5000,ICMP,90,2.3168,1,benign,0,0,0,,5.0019,4.3597,0.2704,0.233232,4.102127,0.136442,1
rec_03426,2025-07-12 14:38:31,client_098,61.238.50.122,208.26.45.61,57693,80,UDP,47,3.9812,0,benign,0,0,0,,4.7696,4.0081,1.2133,0.444707,3.897951,1.210388,1
rec_02851,2025-03-29 23:35:48,client_001,95.71.209.92,218.140.240.129,11499,3306,TCP,204,3.6142,1,benign,0,0,0,,3.0858,3.1338,0.536,0.419261,5.262634,0.559399,1
rec_03127,2025-05-26 07:27:21,client_023,86.216.167.64,8.236.178.242,10431,1900,ICMP,81,2.6714,1,benign,0,0,0,,3.4399,2.8726,0.3365,0.286502,4.442958,0.29569,1
rec_02132,2025-03-30 17:57:37,client_064,79.50.132.51,218.1.187.250,52687,443,TCP,4264,5.4624,1,benign,0,0,0,,1.8675,1.124,1.4822,1.416623,7.937006,1.562849,1
rec_01019,2025-08-12 20:08:05,client_035,100.171.165.66,238.254.223.113,40324,3306,UDP,644,3.1219,1,benign,0,0,0,,2.8087,2.787,0.4127,0.432142,6.165638,0.460715,1
rec_02243,2025-05-08 20:13:53,client_028,240.130.56.79,33.132.220.154,28653,53,UDP,83,1.8981,1,benign,0,0,0,,5.4726,4.9182,0.0,0.168771,4.282675,0.031305,1
